KeyValuePair`2,KeyValuePair`2.Key,KeyValuePair`2.Value
"[1/2/2025 12:00:00 AM, 0.0006040478818443062]","1/2/2025 12:00:00 AM",0.0006040478818443062
"[1/3/2025 12:00:00 AM, 0.0005846991933417518]","1/3/2025 12:00:00 AM",0.0005846991933417518
"[1/6/2025 12:00:00 AM, 0.0005923872496759919]","1/6/2025 12:00:00 AM",0.0005923872496759919
"[1/7/2025 12:00:00 AM, 0.000621229848559545]","1/7/2025 12:00:00 AM",0.000621229848559545
"[1/8/2025 12:00:00 AM, 0.0022595428361080637]","1/8/2025 12:00:00 AM",0.0022595428361080637
"[1/9/2025 12:00:00 AM, 0.0010530790309987647]","1/9/2025 12:00:00 AM",0.0010530790309987647
"[1/10/2025 12:00:00 AM, 0.000565695322316412]","1/10/2025 12:00:00 AM",0.000565695322316412
"[1/13/2025 12:00:00 AM, 0.001991582637423486]","1/13/2025 12:00:00 AM",0.001991582637423486
"[1/14/2025 12:00:00 AM, 0.0005369225542290061]","1/14/2025 12:00:00 AM",0.0005369225542290061
"[1/15/2025 12:00:00 AM, 0.001349177931013005]","1/15/2025 12:00:00 AM",0.001349177931013005
"[1/16/2025 12:00:00 AM, 0.001053131786270692]","1/16/2025 12:00:00 AM",0.001053131786270692
"[1/17/2025 12:00:00 AM, 0.0008854337670956091]","1/17/2025 12:00:00 AM",0.0008854337670956091
"[1/21/2025 12:00:00 AM, 0.0005337803755392226]","1/21/2025 12:00:00 AM",0.0005337803755392226
"[1/22/2025 12:00:00 AM, 0.0010058825949921335]","1/22/2025 12:00:00 AM",0.0010058825949921335
"[1/23/2025 12:00:00 AM, 0.0014894795553453645]","1/23/2025 12:00:00 AM",0.0014894795553453645
